# EIA Form 860 (2024) — Wind Farm Operators & Owners
# 928 unique companies, sorted by total installed capacity
# Generated: 2026-05-03
# Source: https://www.eia.gov/electricity/data/eia860/xls/eia8602024.zip
# Columns: MW (nameplate), Plants
  7811.3 MW    66 plants  Avangrid Power LLC
  7536.8 MW    34 plants  MidAmerican Energy Co
  5560.6 MW    32 plants  Big Sky Wind, LLC
  4488.9 MW    32 plants  Invenergy Services LLC
  3595.1 MW    18 plants  Pattern Operators LP
  3361.2 MW    23 plants  Duke Energy Renewables Services
    3309 MW    24 plants  EDF Renewable Asset Holdings, Inc.
  2615.4 MW    12 plants  Engie North America
  2531.5 MW    15 plants  Southern Power Co
  2490.9 MW    14 plants  PacifiCorp
  2373.2 MW    17 plants  Northern States Power Co - Minnesota
  2032.7 MW    20 plants  Leeward Asset Management, LLC
  1641.3 MW     7 plants  AE Power Services LLC
  1582.4 MW     9 plants  Enel Green Power NA, Inc.
  1489.8 MW    12 plants  DTE Electric Company
  1416.2 MW     6 plants  BHE Renewables, LLC
  1301.5 MW     7 plants  Interstate Power and Light Co
  1288.7 MW     7 plants  Algonquin Power Co
  1262.5 MW    12 plants  ALLETE Clean Energy
  1199.6 MW     4 plants  Southwestern Electric Power Co
  1102.9 MW     9 plants  AES Distributed Energy
  1098.4 MW     2 plants  Public Service Co of Colorado
  1085.3 MW    23 plants  Terra-Gen Operating Co-Wind
  1044.3 MW     7 plants  Onward Energy
    1027 MW     1 plants  Great Prairie Wind LLC
    1000 MW     2 plants  Southwestern Public Service Co
     894 MW     5 plants  Boralex US Operations LLC
     845 MW     3 plants  Caithness Shepherds Flat LLC
   831.7 MW     5 plants  Consumers Energy Co - (MI)
   830.7 MW     4 plants  SunEdison LLC
   816.5 MW     3 plants  Portland General Electric Co
   771.9 MW     3 plants  Puget Sound Energy Inc
   735.5 MW     1 plants  FPL Energy Horse Hollow LLC
     700 MW    14 plants  Evergreen Wind, LLC
     699 MW     2 plants  Union Electric Co - (MO)
   662.5 MW     1 plants  Capricorn Ridge Wind LLC
   643.4 MW     1 plants  High Banks Wind, LLC
   641.5 MW     4 plants  Public Service Co of Oklahoma
   638.7 MW     3 plants  AES Clean Energy
   628.2 MW     4 plants  Evergy Kansas Central, Inc
     612 MW     6 plants  Valcour Operating Services, LLC
   600.6 MW     3 plants  Limon
   599.8 MW     3 plants  Empire District Electric Co
   547.4 MW     5 plants  Acciona Wind Energy USA LLC
     525 MW     1 plants  Aviator Wind, LLC
   521.8 MW     5 plants  ALLETE, Inc.
   500.6 MW     1 plants  White Mesa Wind, LLC
     500 MW     1 plants  Young Wind, LLC
   499.5 MW     1 plants  High Lonesome Wind Power, LLC
   448.7 MW     3 plants  Oklahoma Gas & Electric Co
   444.7 MW     6 plants  Acciona Energy USA Global, LLC
   421.2 MW     4 plants  Wisconsin Power & Light Co
   418.9 MW     1 plants  Mesquite Star Special LLC
     400 MW     2 plants  Mesquite Wind LLC
   398.6 MW     1 plants  Jordan Creek Wind Farm, LLC
     376 MW     1 plants  Stephens Ranch Wind Energy LLC
   366.6 MW     1 plants  Orsted Onshore North America
   365.5 MW     1 plants  Clearwater Energy Resources LLC
   352.8 MW     1 plants  Foard City Wind, LLC
   350.4 MW     5 plants  Otter Tail Power Co
   350.2 MW     1 plants  Azure Sky Wind Project, LLC
     350 MW     1 plants  Mohave County Wind Farm
     340 MW     1 plants  BMP Wind LLC
   338.4 MW     1 plants  Sage Draw Wind, LLC
   337.2 MW     3 plants  Wisconsin Electric Power Co
     336 MW     1 plants  TG East Wind Project LLC
   329.8 MW     1 plants  Boswell Wind, LLC
   325.5 MW    15 plants  Consolidated Edison Development Inc.
   321.2 MW     1 plants  Flat Rock Windpower, LLC
   319.6 MW     3 plants  Wisconsin Public Service Corp
   318.1 MW     1 plants  Rattlesnake Creek Wind Project, LLC
   308.8 MW     1 plants  Canyon Wind Project, LLC
   306.9 MW     4 plants  Exus Pennsylvania Wind Holdings
     304 MW     4 plants  EDP Renewables North America LLC
   303.8 MW     2 plants  TC Energy
   302.4 MW     1 plants  Indiana Crossroads Wind Farms LLC
     302 MW     1 plants  Lincoln Land Wind, LLC
   301.7 MW     1 plants  Seven Cowboy Wind Project, LLC
   301.3 MW     1 plants  Lacy Creek Wind, LLC
     301 MW     1 plants  Inertia Wind Project, LLC
   300.8 MW     3 plants  FPLE Wind, LLC
   300.6 MW     1 plants  Irish Creek Wind, LLC
   300.5 MW     1 plants  Sacramento Municipal Util Dist
     300 MW     1 plants  Pioneer Prairie Wind Farm I, LLC
     300 MW     1 plants  Cedro Hill Wind, LLC
     300 MW     1 plants  Chisholm View Wind Project
     300 MW     1 plants  Tahoka Wind, LLC
     300 MW     1 plants  Torrecillas Wind Energy, LLC
     300 MW     1 plants  Ranchero Wind Farm LLC
     300 MW     1 plants  Bronco Plains Wind, LLC
     300 MW     1 plants  Soldier Creek Wind LLC
     300 MW     1 plants  Milligan 1 Wind, LLC
     300 MW     1 plants  Hubbard Wind LLC
   299.7 MW     2 plants  FPL Energy Vansycle LLC
   299.7 MW     1 plants  Balko Wind LLC
   299.7 MW     1 plants  TX Jumbo Road Wind, LLC
   299.3 MW     1 plants  Red Dirt Wind Project, LLC
   299.3 MW     1 plants  Enel Green Power Diamond Vista Wind Project, LLC
   299.2 MW     1 plants  Limestone Wind Project, LLC
   298.8 MW     1 plants  Aurora Wind Project, LLC
     298 MW     1 plants  Kingfisher Wind LLC
     298 MW     1 plants  Haystack Wind Project, LLC
   297.8 MW     1 plants  Thunder Ranch Wind Project, LLC
   297.6 MW     2 plants  NextEra Energy Seiling Wind
   293.7 MW     1 plants  Canadian Hills Wind LLC
   292.7 MW    16 plants  Greenbacker Renewable Energy Corporation
   291.6 MW     6 plants  Nextera Energy Resources
   284.9 MW     3 plants  Shell Wind Energy Inc.
     282 MW     3 plants  Basin Electric Power Coop
   280.5 MW     2 plants  Orion Energy Group LLC
     278 MW     1 plants  FPL Energy Upton Wind LP
   272.6 MW     1 plants  Las Majadas Wind Farm, LLC
   268.2 MW     1 plants  Helena Wind, LLC
   265.5 MW     1 plants  FGE Goodnight I, LLC
     264 MW     1 plants  Clearway Energy Operating LLC
   262.2 MW     1 plants  Windy Flats Partners LLC
     256 MW     1 plants  Roadrunner Crossing Wind Farm, LLC
     253 MW     1 plants  Dermott Wind, LLC
     252 MW     1 plants  Cedar Point LLC
   250.7 MW     1 plants  Little Blue Wind Project, LLC
     250 MW     1 plants  Hidalgo Wind Farm LLC
     250 MW     1 plants  Golden West Power Partners, LLC
     250 MW     1 plants  Willow Springs Windfarm, LLC
     250 MW     1 plants  Amadeus Wind LLC
     250 MW     1 plants  Nobles 2 Power Partners, LLC
     250 MW     1 plants  Skeleton Creek Energy Center
   249.9 MW     1 plants  Palo Duro Wind
   249.9 MW     1 plants  Rush Springs Wind Project
   249.8 MW     1 plants  Buffalo Dunes Wind Project LLC
   249.8 MW     1 plants  Tucson Electric Power Co
   249.7 MW     1 plants  Javelina Wind Energy, LLC
   247.3 MW     1 plants  Armadillo Flats Wind Project, LLC
   243.5 MW     1 plants  Pratt Wind, LLC
   242.8 MW     1 plants  El Campo Wind, LLC (Longroad)
     242 MW     1 plants  Clear Creek Wind, LLC
   239.4 MW     1 plants  Big Sky Wind LLC
   237.6 MW     1 plants  Rio Bravo Windpower, LLC
   236.5 MW     1 plants  White Cloud Wind Project, LLC
     236 MW     1 plants  Chapman Ranch Wind LLC
     230 MW     1 plants  Electra Wind, LLC
     230 MW     1 plants  Horse Creek Wind, LLC
     230 MW     1 plants  Plum Creek Wind, LLC
     226 MW     1 plants  Roundhouse Renewable Energy, LLC
   225.6 MW     1 plants  Griffin Trail Wind, LLC
   224.4 MW     1 plants  Great Pathfinder Wind
